GEO ID,State Abbreviation,State,Year,State PrEP Users,State PrEP Rates,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55+ PrEP Users,Age 55+ PrEP Rate,Age 55+ PrEP Rate Stability
10,DE,Delaware,2013,45,6,Y,19,5,Y,26,6,Y,11,7,N,10,8,N,14,13,Y,8,6,N,2,1,N
11,DC,District of Columbia,2013,112,20,Y,88,33,Y,24,8,Y,7,7,N,41,28,Y,37,41,Y,18,24,Y,9,6,N
12,FL,Florida,2013,951,6,Y,528,7,Y,423,5,Y,99,3,Y,301,12,Y,258,11,Y,188,7,Y,105,2,Y
13,GA,Georgia,2013,312,4,Y,194,5,Y,118,3,Y,30,2,Y,106,8,Y,81,6,Y,54,4,Y,41,2,Y
15,HI,Hawaii,2013,26,2,Y,11,2,N,15,3,Y,3,1,N,4,2,N,8,5,N,3,2,N,8,2,N
16,ID,Idaho,2013,22,2,Y,13,2,Y,9,1,N,2,1,N,10,5,N,4,2,N,5,2,N,1,0,N
17,IL,Illinois,2013,515,5,Y,319,6,Y,196,4,Y,107,5,Y,153,9,Y,130,8,Y,77,4,Y,46,1,Y
18,IN,Indiana,2013,151,3,Y,68,3,Y,83,3,Y,43,4,Y,41,5,Y,39,5,Y,17,2,Y,12,1,Y
19,IA,Iowa,2013,80,3,Y,33,3,Y,47,4,Y,19,4,Y,30,8,Y,15,4,Y,7,2,N,7,1,N
20,KS,Kansas,2013,44,2,Y,21,2,Y,23,2,Y,7,1,N,16,4,Y,13,4,Y,6,2,N,2,0,N
21,KY,Kentucky,2013,71,2,Y,39,2,Y,32,2,Y,17,2,Y,20,4,Y,14,2,Y,10,2,N,9,1,N
22,LA,Louisiana,2013,142,4,Y,62,3,Y,80,4,Y,26,3,Y,43,7,Y,35,6,Y,22,4,Y,16,1,Y
23,ME,Maine,2013,42,4,Y,21,4,Y,21,4,Y,9,5,N,12,8,Y,11,7,N,7,3,N,3,1,N
24,MD,Maryland,2013,247,5,Y,115,5,Y,132,5,Y,46,5,Y,100,12,Y,42,5,Y,36,4,Y,23,1,Y
25,MA,Massachusetts,2013,1026,18,Y,430,16,Y,596,20,Y,243,22,Y,367,41,Y,187,22,Y,150,15,Y,76,4,Y
26,MI,Michigan,2013,228,3,Y,120,3,Y,108,3,Y,47,3,Y,62,5,Y,39,3,Y,54,4,Y,26,1,Y
27,MN,Minnesota,2013,178,4,Y,89,4,Y,89,4,Y,42,5,Y,53,7,Y,43,6,Y,29,4,Y,12,1,Y
28,MS,Mississippi,2013,40,2,Y,19,2,Y,21,2,Y,5,1,N,14,4,Y,5,1,N,13,3,Y,3,0,N
29,MO,Missouri,2013,157,3,Y,92,4,Y,65,3,Y,18,2,Y,58,7,Y,43,6,Y,24,3,Y,15,1,Y
30,MT,Montana,2013,19,2,Y,12,3,Y,7,2,N,2,1,N,7,6,N,6,5,N,3,2,N,1,0,N
31,NE,Nebraska,2013,39,3,Y,17,2,Y,22,3,Y,6,2,N,20,8,Y,9,4,N,4,2,N,-1,-1,N
32,NV,Nevada,2013,78,3,Y,58,5,Y,20,2,Y,8,2,N,33,8,Y,18,5,Y,13,3,Y,6,1,N
33,NH,New Hampshire,2013,60,5,Y,25,4,Y,35,6,Y,13,6,Y,23,15,Y,14,9,Y,5,2,N,5,1,N
34,NJ,New Jersey,2013,421,6,Y,232,6,Y,189,5,Y,69,5,Y,160,14,Y,81,7,Y,80,6,Y,31,1,Y
35,NM,New Mexico,2013,50,3,Y,32,4,Y,18,2,Y,11,3,N,15,6,Y,6,2,N,8,3,N,10,2,N
36,NY,New York,2013,2002,12,Y,1174,15,Y,828,10,Y,372,12,Y,723,26,Y,437,17,Y,302,11,Y,167,3,Y
37,NC,North Carolina,2013,251,3,Y,128,3,Y,123,3,Y,45,3,Y,78,6,Y,65,5,Y,46,3,Y,17,1,Y
