"","GEOID","State","County","CountyPrevalence","TotalIDU","PercentIDU"
"2839",51036,"VA","Charles City County",18,0,0
"2840",51037,"VA","Charlotte County",16,0,0
"2841",51041,"VA","Chesterfield County",556,175,31.4748201438849
"2842",51043,"VA","Clarke County",15,0,0
"2843",51045,"VA","Craig County",NA,0,NA
"2844",51047,"VA","Culpeper County",84,6,7.14285714285714
"2845",51049,"VA","Cumberland County",17,0,0
"2846",51051,"VA","Dickenson County",7,0,0
"2847",51053,"VA","Dinwiddie County",39,0,0
"2848",51057,"VA","Essex County",21,0,0
"2849",51059,"VA","Fairfax County",2209,668,30.2399275690358
"2850",51061,"VA","Fauquier County",66,11,16.6666666666667
"2851",51063,"VA","Floyd County",10,0,0
"2852",51065,"VA","Fluvanna County",30,8,26.6666666666667
"2853",51067,"VA","Franklin County",57,0,0
"2854",51069,"VA","Frederick County",86,15,17.4418604651163
"2855",51071,"VA","Giles County",11,0,0
"2856",51073,"VA","Gloucester County",39,0,0
"2857",51075,"VA","Goochland County",66,20,30.3030303030303
"2858",51077,"VA","Grayson County",9,0,0
"2859",51079,"VA","Greene County",11,0,0
"2860",51081,"VA","Greensville County",80,10,12.5
"2861",51083,"VA","Halifax County",76,8,10.5263157894737
"2862",51085,"VA","Hanover County",105,11,10.4761904761905
"2863",51087,"VA","Henrico County",774,258,33.3333333333333
"2864",51089,"VA","Henry County",47,0,0
"2865",51091,"VA","Highland County",NA,0,NA
"2866",51093,"VA","Isle of Wight County",76,7,9.21052631578947
"2867",51095,"VA","James City County",53,5,9.43396226415094
"2868",51097,"VA","King And Queen County",12,0,0
"2869",51099,"VA","King George County",36,0,0
"2870",51101,"VA","King William County",10,0,0
"2871",51103,"VA","Lancaster County",26,0,0
"2872",51105,"VA","Lee County",18,0,0
"2873",51107,"VA","Loudoun County",310,86,27.741935483871
"2874",51109,"VA","Louisa County",38,0,0
"2875",51111,"VA","Lunenburg County",34,6,17.6470588235294
"2876",51113,"VA","Madison County",10,0,0
"2877",51115,"VA","Mathews County",13,0,0
"2878",51117,"VA","Mecklenburg County",81,11,13.5802469135802
"2879",51119,"VA","Middlesex County",17,0,0
"2880",51121,"VA","Montgomery County",57,0,0
"2881",51125,"VA","Nelson County",19,0,0
"2882",51127,"VA","New Kent County",21,0,0
"2883",51131,"VA","Northampton County",30,0,0
"2884",51133,"VA","Northumberland County",18,0,0
"2885",51135,"VA","Nottoway County",53,9,16.9811320754717
"2886",51137,"VA","Orange County",37,0,0
"2887",51139,"VA","Page County",11,0,0
"2888",51141,"VA","Patrick County",12,0,0
"2889",51143,"VA","Pittsylvania County",78,9,11.5384615384615
"2890",51145,"VA","Powhatan County",89,9,10.1123595505618
"2891",51147,"VA","Prince Edward County",47,0,0
"2892",51149,"VA","Prince George County",109,16,14.6788990825688
"2893",51153,"VA","Prince William County",803,300,37.359900373599
"2894",51155,"VA","Pulaski County",25,0,0
"2895",51157,"VA","Rappahannock County",7,0,0
"2896",51159,"VA","Richmond County",42,5,11.9047619047619
"2897",51161,"VA","Roanoke County",98,6,6.12244897959184
"2898",51163,"VA","Rockbridge County",10,0,0
"2899",51165,"VA","Rockingham County",58,0,0
"2900",51167,"VA","Russell County",8,0,0
"2901",51169,"VA","Scott County",11,0,0
"2902",51171,"VA","Shenandoah County",21,0,0
"2903",51173,"VA","Smyth County",34,0,0
"2904",51175,"VA","Southampton County",39,5,12.8205128205128
"2905",51177,"VA","Spotsylvania County",136,33,24.2647058823529
"2906",51179,"VA","Stafford County",175,59,33.7142857142857
"2907",51181,"VA","Surry County",15,0,0
"2908",51183,"VA","Sussex County",58,20,34.4827586206897
"2909",51185,"VA","Tazewell County",31,0,0
"2910",51187,"VA","Warren County",34,0,0
"2911",51191,"VA","Washington County",40,0,0
"2912",51193,"VA","Westmoreland County",20,0,0
"2913",51195,"VA","Wise County",19,0,0
"2914",51197,"VA","Wythe County",31,0,0
"2915",51199,"VA","York County",55,5,9.09090909090909
"2916",51510,"VA","Alexandria city",880,293,33.2954545454545
"2917",51520,"VA","Bristol city",21,0,0
"2918",51530,"VA","Buena Vista City",NA,0,NA
"2919",51540,"VA","Charlottesville city",145,35,24.1379310344828
"2920",51550,"VA","Chesapeake city",506,163,32.2134387351779
"2921",51570,"VA","Colonial Heights city",22,0,0
"2922",51580,"VA","Covington City",18,0,0
"2923",51590,"VA","Danville city",116,53,45.6896551724138
"2924",51595,"VA","Emporia City",16,0,0
"2925",51600,"VA","Fairfax city",70,14,20
"2926",51610,"VA","Falls Church city",27,0,0
"2927",51620,"VA","Franklin City",21,0,0
"2928",51630,"VA","Fredericksburg city",65,8,12.3076923076923
"2929",51640,"VA","Galax City",7,0,0
"2930",51650,"VA","Hampton city",545,161,29.5412844036697
"2931",51660,"VA","Harrisonburg city",64,10,15.625
"2932",51670,"VA","Hopewell city",110,31,28.1818181818182
"2933",51678,"VA","Lexington City",6,0,0
"2934",51680,"VA","Lynchburg city",170,63,37.0588235294118
"2935",51683,"VA","Manassas city",82,26,31.7073170731707
"2936",51685,"VA","Manassas Park city",21,0,0
"2937",51690,"VA","Martinsville city",31,0,0
"2938",51700,"VA","Newport News city",721,228,31.622746185853
"2939",51710,"VA","Norfolk city",1567,487,31.0784939374601
"2940",51720,"VA","Norton city",NA,0,NA
"2941",51730,"VA","Petersburg city",292,98,33.5616438356164
"2942",51735,"VA","Poquoson city",6,0,0
"2943",51740,"VA","Portsmouth city",601,193,32.1131447587354
"2944",51750,"VA","Radford city",11,0,0
"2945",51760,"VA","Richmond city",2077,586,28.2137698603755
"2946",51770,"VA","Roanoke city",394,126,31.9796954314721
"2947",51775,"VA","Salem city",29,0,0
"2948",51790,"VA","Staunton city",43,0,0
"2949",51800,"VA","Suffolk city",213,66,30.9859154929577
"2950",51810,"VA","Virginia Beach city",1010,255,25.2475247524752
"2951",51820,"VA","Waynesboro city",37,0,0
"2952",51830,"VA","Williamsburg city",29,0,0
"2953",51840,"VA","Winchester city",66,5,7.57575757575758
"2954",53001,"WA","Adams County",13,0,0
"2955",53003,"WA","Asotin County",18,0,0
"2956",53005,"WA","Benton County",100,5,5
"2957",53007,"WA","Chelan County",48,5,10.4166666666667
"2958",53009,"WA","Clallam County",62,0,0
"2959",53011,"WA","Clark County",633,101,15.955766192733
"2960",53013,"WA","Columbia County",12,0,0
"2961",53015,"WA","Cowlitz County",112,0,0
"2962",53017,"WA","Douglas County",13,0,0
"2963",53019,"WA","Ferry County",NA,0,NA
"2964",53021,"WA","Franklin County",60,0,0
"2965",53023,"WA","Garfield County",NA,0,NA
"2966",53025,"WA","Grant County",40,0,0
